,PassengerId,Survived,Pclass,Age,Deck,Title,SexC,Family_Size,Fare_Per_Person
87,88,0,3,28.0,0,5,1,0,8.05
88,89,1,1,23.0,2,2,0,5,43.833333333333336
89,90,0,3,24.0,0,5,1,0,8.05
90,91,0,3,29.0,0,5,1,0,8.05
91,92,0,3,20.0,0,5,1,0,7.8542
92,93,0,1,46.0,4,5,1,1,30.5875
93,94,0,3,26.0,0,5,1,3,5.14375
94,95,0,3,59.0,0,5,1,0,7.25
95,96,0,3,28.0,0,5,1,0,8.05
96,97,0,1,71.0,0,5,1,0,34.6542
97,98,1,1,23.0,3,5,1,1,31.67915
98,99,1,2,34.0,0,5,0,1,11.5
99,100,0,2,34.0,0,5,1,1,13.0
100,101,0,3,28.0,0,2,0,0,7.8958
101,102,0,3,28.0,0,5,1,0,7.8958
102,103,0,1,21.0,3,5,1,1,38.64375
103,104,0,3,33.0,0,5,1,0,8.6542
104,105,0,3,37.0,0,5,1,2,2.6416666666666666
105,106,0,3,28.0,0,5,1,0,7.8958
106,107,1,3,21.0,0,2,0,0,7.65
107,108,1,3,28.0,0,5,1,0,7.775
108,109,0,3,38.0,0,5,1,0,7.8958
109,110,1,3,28.0,0,2,0,1,12.075
110,111,0,1,47.0,2,5,1,0,52.0
111,112,0,3,14.5,0,2,0,1,7.2271
112,113,0,3,22.0,0,5,1,0,8.05
113,114,0,3,20.0,0,2,0,1,4.9125
114,115,0,3,17.0,0,2,0,0,14.4583
115,116,0,3,21.0,0,5,1,0,7.925
116,117,0,3,70.5,0,5,1,0,7.75
117,118,0,2,29.0,0,5,1,1,10.5
118,119,0,1,24.0,1,5,1,1,123.7604
119,120,0,3,2.0,0,2,0,6,4.4678571428571425
120,121,0,2,21.0,0,5,1,2,24.5
121,122,0,3,28.0,0,5,1,0,8.05
122,123,0,2,32.5,0,5,1,1,15.0354
123,124,1,2,32.5,4,2,0,0,13.0
124,125,0,1,54.0,3,5,1,1,38.64375
125,126,1,3,12.0,0,5,1,1,5.62085
126,127,0,3,28.0,0,5,1,0,7.75
127,128,1,3,24.0,0,5,1,0,7.1417
128,129,1,3,28.0,4,2,0,2,7.452766666666666
129,130,0,3,45.0,0,5,1,0,6.975
130,131,0,3,33.0,0,5,1,0,7.8958
131,132,0,3,20.0,0,5,1,0,7.05
132,133,0,3,47.0,0,5,0,1,7.25
133,134,1,2,29.0,0,5,0,1,13.0
134,135,0,2,25.0,0,5,1,0,13.0
135,136,0,2,23.0,0,5,1,0,15.0458
136,137,1,1,19.0,3,2,0,2,8.7611
137,138,0,1,37.0,2,5,1,1,26.55
138,139,0,3,16.0,0,5,1,0,9.2167
139,140,0,1,24.0,1,5,1,0,79.2
140,141,0,3,28.0,0,5,0,2,5.081933333333333
141,142,1,3,22.0,0,2,0,0,7.75
142,143,1,3,24.0,0,5,0,1,7.925
143,144,0,3,19.0,0,5,1,0,6.75
144,145,0,2,18.0,0,5,1,0,11.5
145,146,0,2,19.0,0,5,1,2,12.25
146,147,1,3,27.0,0,5,1,0,7.7958
147,148,0,3,9.0,0,2,0,4,6.875
148,149,0,2,36.5,5,5,1,2,8.666666666666666
149,150,0,2,42.0,0,0,1,0,13.0
150,151,0,2,51.0,0,0,1,0,12.525
151,152,1,1,22.0,2,5,0,1,33.3
152,153,0,3,55.5,0,5,1,0,8.05
153,154,0,3,40.5,0,5,1,2,4.833333333333333
154,155,0,3,28.0,0,5,1,0,7.3125
155,156,0,1,51.0,0,5,1,1,30.6896
156,157,1,3,16.0,0,2,0,0,7.7333
157,158,0,3,30.0,0,5,1,0,8.05
158,159,0,3,28.0,0,5,1,0,8.6625
159,160,0,3,28.0,0,5,1,10,6.322727272727272
160,161,0,3,44.0,0,5,1,1,8.05
161,162,1,2,40.0,0,5,0,0,15.75
162,163,0,3,26.0,0,5,1,0,7.775
163,164,0,3,17.0,0,5,1,0,8.6625
164,165,0,3,1.0,0,5,1,5,6.614583333333333
165,166,1,3,9.0,0,5,1,2,6.841666666666666
166,167,1,1,28.0,4,5,0,1,27.5
167,168,0,3,45.0,0,5,0,5,4.6499999999999995
168,169,0,1,28.0,0,5,1,0,25.925
169,170,0,3,28.0,0,5,1,0,56.4958
170,171,0,1,61.0,1,5,1,0,33.5
171,172,0,3,4.0,0,5,1,5,4.854166666666667
172,173,1,3,1.0,0,2,0,2,3.7111
173,174,0,3,21.0,0,5,1,0,7.925
174,175,0,1,56.0,0,5,1,0,30.6958
175,176,0,3,18.0,0,5,1,2,2.6180666666666665
176,177,0,3,28.0,0,5,1,4,5.0933399999999995
177,178,0,1,50.0,2,2,0,0,28.7125
178,179,0,2,30.0,0,5,1,0,13.0
179,180,0,3,36.0,0,5,1,0,0.0
180,181,0,3,28.0,0,2,0,10,6.322727272727272
181,182,0,2,28.0,0,5,1,0,15.05
182,183,0,3,9.0,0,5,1,6,4.483928571428572
183,184,1,2,1.0,5,5,1,3,9.75
184,185,1,3,4.0,0,2,0,2,7.341666666666666
185,186,0,1,28.0,0,5,1,0,50.0
186,187,1,3,28.0,0,5,0,1,7.75
187,188,1,1,45.0,0,5,1,0,26.55
188,189,0,3,40.0,0,5,1,2,5.166666666666667
189,190,0,3,36.0,0,5,1,0,7.8958
190,191,1,2,32.0,0,5,0,0,13.0
191,192,0,2,19.0,0,5,1,0,13.0
192,193,1,3,19.0,0,2,0,1,3.9271
193,194,1,2,3.0,5,5,1,2,8.666666666666666
194,195,1,1,44.0,1,5,0,0,27.7208
195,196,1,1,58.0,1,2,0,0,146.5208
196,197,0,3,28.0,0,5,1,0,7.75
197,198,0,3,42.0,0,5,1,1,4.2021
198,199,1,3,28.0,0,2,0,0,7.75
199,200,0,2,24.0,0,5,0,0,13.0
200,201,0,3,28.0,0,5,1,0,9.5
201,202,0,3,28.0,0,5,1,10,6.322727272727272
202,203,0,3,34.0,0,5,1,0,6.4958
203,204,0,3,45.5,0,5,1,0,7.225
204,205,1,3,18.0,0,5,1,0,8.05
205,206,0,3,2.0,7,2,0,1,5.23125
206,207,0,3,32.0,0,5,1,1,7.925
207,208,1,3,26.0,0,5,1,0,18.7875
208,209,1,3,16.0,0,2,0,0,7.75
209,210,1,1,40.0,0,5,1,0,31.0
210,211,0,3,24.0,0,5,1,0,7.05
211,212,1,2,35.0,0,2,0,0,21.0
212,213,0,3,22.0,0,5,1,0,7.25
213,214,0,2,30.0,0,5,1,0,13.0
214,215,0,3,28.0,0,5,1,1,3.875
215,216,1,1,31.0,3,2,0,1,56.6375
216,217,1,3,27.0,0,2,0,0,7.925
217,218,0,2,42.0,0,5,1,1,13.5
218,219,1,1,32.0,3,2,0,0,76.2917
219,220,0,2,30.0,0,5,1,0,10.5
220,221,1,3,16.0,0,5,1,0,8.05
221,222,0,2,27.0,0,5,1,0,13.0
222,223,0,3,51.0,0,5,1,0,8.05
223,224,0,3,28.0,0,5,1,0,7.8958
224,225,1,1,38.0,2,5,1,1,45.0
225,226,0,3,22.0,0,5,1,0,9.35
226,227,1,2,19.0,0,5,1,0,10.5
227,228,0,3,20.5,0,5,1,0,7.25
228,229,0,2,18.0,0,5,1,0,13.0
229,230,0,3,28.0,0,2,0,4,5.0933399999999995
230,231,1,1,35.0,2,5,0,1,41.7375
231,232,0,3,29.0,0,5,1,0,7.775
232,233,0,2,59.0,0,5,1,0,13.5
233,234,1,3,5.0,0,2,0,6,4.483928571428572
234,235,0,2,24.0,0,5,1,0,10.5
235,236,0,3,28.0,0,2,0,0,7.55
236,237,0,2,44.0,0,5,1,1,13.0
237,238,1,2,8.0,0,2,0,2,8.75
238,239,0,2,19.0,0,5,1,0,10.5
239,240,0,2,33.0,0,5,1,0,12.275
240,241,0,3,28.0,0,2,0,1,7.2271
241,242,1,3,28.0,0,2,0,1,7.75
242,243,0,2,29.0,0,5,1,0,10.5
243,244,0,3,22.0,0,5,1,0,7.125
244,245,0,3,30.0,0,5,1,0,7.225
245,246,0,1,44.0,2,3,1,2,30.0
246,247,0,3,25.0,0,2,0,0,7.775
247,248,1,2,24.0,0,5,0,2,4.833333333333333
248,249,1,1,37.0,3,5,1,2,17.518066666666666
249,250,0,2,54.0,0,0,1,1,13.0
250,251,0,3,28.0,0,5,1,0,7.25
251,252,0,3,29.0,7,5,0,2,3.4875000000000003
252,253,0,1,62.0,2,5,1,0,26.55
253,254,0,3,30.0,0,5,1,1,8.05
254,255,0,3,41.0,0,5,0,2,6.7375
255,256,1,3,29.0,0,5,0,2,5.081933333333333
256,257,1,1,28.0,0,5,0,0,79.2
257,258,1,1,30.0,1,2,0,0,86.5
258,259,1,1,35.0,0,2,0,0,512.3292
259,260,1,2,50.0,0,5,0,1,13.0
260,261,0,3,28.0,0,5,1,0,7.75
261,262,1,3,3.0,0,5,1,6,4.483928571428572
262,263,0,1,52.0,4,5,1,2,26.55
263,264,0,1,40.0,1,5,1,0,0.0
264,265,0,3,28.0,0,2,0,0,7.75
265,266,0,2,36.0,0,5,1,0,10.5
266,267,0,3,16.0,0,5,1,5,6.614583333333333
267,268,1,3,25.0,0,5,1,1,3.8875
268,269,1,1,58.0,2,5,0,1,76.73125
269,270,1,1,35.0,2,2,0,0,135.6333
270,271,0,1,28.0,0,5,1,0,31.0
271,272,1,3,25.0,0,5,1,0,0.0
272,273,1,2,41.0,0,5,0,1,9.75
273,274,0,1,37.0,2,5,1,1,14.85
274,275,1,3,28.0,0,2,0,0,7.75
275,276,1,1,63.0,3,2,0,1,38.97915
276,277,0,3,45.0,0,2,0,0,7.75
277,278,0,2,28.0,0,5,1,0,0.0
278,279,0,3,7.0,0,5,1,5,4.854166666666667
279,280,1,3,35.0,0,5,0,2,6.75
280,281,0,3,65.0,0,5,1,0,7.75
281,282,0,3,28.0,0,5,1,0,7.8542
282,283,0,3,16.0,0,5,1,0,9.5
283,284,1,3,19.0,0,5,1,0,8.05
284,285,0,1,28.0,0,5,1,0,26.0
285,286,0,3,33.0,0,5,1,0,8.6625
286,287,1,3,30.0,0,5,1,0,9.5
287,288,0,3,22.0,0,5,1,0,7.8958
288,289,1,2,42.0,0,5,1,0,13.0
289,290,1,3,22.0,0,2,0,0,7.75
290,291,1,1,26.0,0,2,0,0,78.85
291,292,1,1,19.0,1,5,0,1,45.5396
292,293,0,2,36.0,3,5,1,0,12.875
293,294,0,3,24.0,0,2,0,0,8.85
294,295,0,3,24.0,0,5,1,0,7.8958
295,296,0,1,28.0,0,5,1,0,27.7208
296,297,0,3,23.5,0,5,1,0,7.2292
297,298,0,1,2.0,2,2,0,3,37.8875
298,299,1,1,28.0,2,5,1,0,30.5
299,300,1,1,50.0,1,5,0,1,123.7604
300,301,1,3,28.0,0,2,0,0,7.75
301,302,1,3,28.0,0,5,1,2,7.75
302,303,0,3,19.0,0,5,1,0,0.0
303,304,1,2,28.0,4,2,0,0,12.35
304,305,0,3,28.0,0,5,1,0,8.05
305,306,1,1,0.92,2,5,1,3,37.8875
306,307,1,1,28.0,0,2,0,0,110.8833
307,308,1,1,17.0,2,5,0,1,54.45
308,309,0,2,30.0,0,5,1,1,12.0
309,310,1,1,30.0,4,2,0,0,56.9292
310,311,1,1,24.0,2,2,0,0,83.1583
311,312,1,1,18.0,1,2,0,4,52.475
312,313,0,2,26.0,0,5,0,2,8.666666666666666
313,314,0,3,28.0,0,5,1,0,7.8958
314,315,0,2,43.0,0,5,1,2,8.75
315,316,1,3,26.0,0,2,0,0,7.8542
316,317,1,2,24.0,0,5,0,1,13.0
317,318,0,2,54.0,0,3,1,0,14.0
318,319,1,1,31.0,2,2,0,2,54.95556666666667
319,320,1,1,40.0,4,5,0,2,44.833333333333336
320,321,0,3,22.0,0,5,1,0,7.25
321,322,0,3,27.0,0,5,1,0,7.8958
322,323,1,2,30.0,0,2,0,0,12.35
323,324,1,2,22.0,0,5,0,2,9.666666666666666
324,325,0,3,28.0,0,5,1,10,6.322727272727272
325,326,1,1,36.0,2,2,0,0,135.6333
326,327,0,3,61.0,0,5,1,0,6.2375
327,328,1,2,36.0,3,5,0,0,13.0
328,329,1,3,31.0,0,5,0,2,6.841666666666666
329,330,1,1,16.0,1,2,0,1,28.9896
330,331,1,3,28.0,0,2,0,2,7.75
331,332,0,1,45.5,2,5,1,0,28.5
332,333,0,1,38.0,2,5,1,1,76.73125
333,334,0,3,16.0,0,5,1,2,6.0
334,335,1,1,28.0,0,5,0,1,66.825
335,336,0,3,28.0,0,5,1,0,7.8958
336,337,0,1,29.0,2,5,1,1,33.3
337,338,1,1,41.0,4,2,0,0,134.5
338,339,1,3,45.0,0,5,1,0,8.05
339,340,0,1,45.0,6,5,1,0,35.5
340,341,1,2,2.0,5,5,1,2,8.666666666666666
341,342,1,1,24.0,2,2,0,5,43.833333333333336
342,343,0,2,28.0,0,5,1,0,13.0
343,344,0,2,25.0,0,5,1,0,13.0
344,345,0,2,36.0,0,5,1,0,13.0
345,346,1,2,24.0,5,2,0,0,13.0
346,347,1,2,40.0,0,2,0,0,13.0
347,348,1,3,28.0,0,5,0,1,8.05
348,349,1,3,3.0,0,5,1,2,5.3
349,350,0,3,42.0,0,5,1,0,8.6625
350,351,0,3,23.0,0,5,1,0,9.225
351,352,0,1,28.0,2,5,1,0,35.0
352,353,0,3,15.0,0,5,1,2,2.409733333333333
353,354,0,3,25.0,0,5,1,1,8.9
354,355,0,3,28.0,0,5,1,0,7.225
355,356,0,3,28.0,0,5,1,0,9.5
356,357,1,1,22.0,4,2,0,1,27.5
357,358,0,2,38.0,0,2,0,0,13.0
358,359,1,3,28.0,0,2,0,0,7.8792
359,360,1,3,28.0,0,2,0,0,7.8792
360,361,0,3,40.0,0,5,1,5,4.6499999999999995
361,362,0,2,29.0,0,5,1,1,13.8604
362,363,0,3,45.0,0,5,0,1,7.2271
363,364,0,3,35.0,0,5,1,0,7.05
364,365,0,3,28.0,0,5,1,1,7.75
365,366,0,3,30.0,0,5,1,0,7.25
366,367,1,1,60.0,3,5,0,1,37.625
367,368,1,3,28.0,0,5,0,0,7.2292
368,369,1,3,28.0,0,2,0,0,7.75
369,370,1,1,24.0,1,1,0,0,69.3
370,371,1,1,25.0,4,5,1,1,27.72085
371,372,0,3,18.0,0,5,1,1,3.2479
372,373,0,3,19.0,0,5,1,0,8.05
373,374,0,1,22.0,0,5,1,0,135.6333
374,375,0,3,3.0,0,2,0,4,4.215
375,376,1,1,28.0,0,5,0,1,41.0854
376,377,1,3,22.0,0,2,0,0,7.25
377,378,0,1,27.0,2,5,1,2,70.5
378,379,0,3,20.0,0,5,1,0,4.0125
379,380,0,3,19.0,0,5,1,0,7.775
380,381,1,1,42.0,0,2,0,0,227.525
381,382,1,3,1.0,0,2,0,2,5.247233333333333
382,383,0,3,32.0,0,5,1,0,7.925
383,384,1,1,35.0,0,5,0,1,26.0
384,385,0,3,28.0,0,5,1,0,7.8958
385,386,0,2,18.0,0,5,1,0,73.5
386,387,0,3,1.0,0,5,1,7,5.8625
387,388,1,2,36.0,0,2,0,0,13.0
388,389,0,3,28.0,0,5,1,0,7.7292
389,390,1,2,17.0,0,2,0,0,12.0
390,391,1,1,36.0,1,5,1,3,30.0
391,392,1,3,21.0,0,5,1,0,7.7958
392,393,0,3,28.0,0,5,1,2,2.6416666666666666
393,394,1,1,23.0,3,2,0,1,56.6375
394,395,1,3,24.0,7,5,0,2,5.566666666666666
395,396,0,3,22.0,0,5,1,0,7.7958
396,397,0,3,31.0,0,2,0,0,7.8542
397,398,0,2,46.0,0,5,1,0,26.0
398,399,0,2,23.0,0,3,1,0,10.5
399,400,1,2,28.0,0,5,0,0,12.65
400,401,1,3,39.0,0,5,1,0,7.925
401,402,0,3,26.0,0,5,1,0,8.05
402,403,0,3,21.0,0,2,0,1,4.9125
403,404,0,3,28.0,0,5,1,1,7.925
404,405,0,3,20.0,0,2,0,0,8.6625
405,406,0,2,34.0,0,5,1,1,10.5
406,407,0,3,51.0,0,5,1,0,7.75
407,408,1,2,3.0,0,5,1,2,6.25
408,409,0,3,21.0,0,5,1,0,7.775
409,410,0,3,28.0,0,2,0,4,5.0933399999999995
410,411,0,3,28.0,0,5,1,0,7.8958
411,412,0,3,28.0,0,5,1,0,6.8583
412,413,1,1,33.0,2,2,0,1,45.0
413,414,0,2,28.0,0,5,1,0,0.0
414,415,1,3,44.0,0,5,1,0,7.925
415,416,0,3,28.0,0,5,0,0,8.05
416,417,1,2,34.0,0,5,0,2,10.833333333333334
417,418,1,2,18.0,0,2,0,2,4.333333333333333
418,419,0,2,30.0,0,5,1,0,13.0
419,420,0,3,10.0,0,2,0,2,8.049999999999999
420,421,0,3,28.0,0,5,1,0,7.8958
421,422,0,3,21.0,0,5,1,0,7.7333
422,423,0,3,29.0,0,5,1,0,7.875
423,424,0,3,28.0,0,5,0,2,4.8
424,425,0,3,18.0,0,5,1,2,6.7375
425,426,0,3,28.0,0,5,1,0,7.25
426,427,1,2,28.0,0,5,0,1,13.0
427,428,1,2,19.0,0,5,0,0,26.0
428,429,0,3,28.0,0,5,1,0,7.75
429,430,1,3,32.0,4,5,1,0,8.05
430,431,1,1,28.0,2,5,1,0,26.55
431,432,1,3,28.0,0,5,0,1,8.05
432,433,1,2,42.0,0,5,0,1,13.0
433,434,0,3,17.0,0,5,1,0,7.125
434,435,0,1,50.0,4,5,1,1,27.95
435,436,1,1,14.0,1,2,0,3,30.0
436,437,0,3,21.0,0,2,0,4,6.875
437,438,1,2,24.0,0,5,0,5,3.125
438,439,0,1,64.0,2,5,1,5,43.833333333333336
439,440,0,2,31.0,0,5,1,0,10.5
440,441,1,2,45.0,0,5,0,2,8.75
441,442,0,3,20.0,0,5,1,0,9.5
442,443,0,3,25.0,0,5,1,1,3.8875
443,444,1,2,28.0,0,5,0,0,13.0
444,445,1,3,28.0,0,5,1,0,8.1125
445,446,1,1,4.0,0,5,1,2,27.2861
446,447,1,2,13.0,0,2,0,1,9.75
447,448,1,1,34.0,0,5,1,0,26.55
448,449,1,3,5.0,0,2,0,3,4.814575
449,450,1,1,52.0,2,0,1,0,30.5
450,451,0,2,36.0,0,5,1,3,6.9375
451,452,0,3,28.0,0,5,1,1,9.98335
452,453,0,1,30.0,2,5,1,0,27.75
453,454,1,1,49.0,2,5,1,1,44.5521
454,455,0,3,28.0,0,5,1,0,8.05
455,456,1,3,29.0,0,5,1,0,7.8958
456,457,0,1,65.0,4,5,1,0,26.55
457,458,1,1,28.0,3,5,0,1,25.93125
458,459,1,2,50.0,0,2,0,0,10.5
459,460,0,3,28.0,0,5,1,0,7.75
460,461,1,1,48.0,4,5,1,0,26.55
461,462,0,3,34.0,0,5,1,0,8.05
462,463,0,1,47.0,4,5,1,0,38.5
463,464,0,2,48.0,0,5,1,0,13.0
464,465,0,3,28.0,0,5,1,0,8.05
465,466,0,3,38.0,0,5,1,0,7.05
466,467,0,2,28.0,0,5,1,0,0.0
467,468,0,1,56.0,0,5,1,0,26.55
468,469,0,3,28.0,0,5,1,0,7.725
469,470,1,3,0.75,0,2,0,3,4.814575
470,471,0,3,28.0,0,5,1,0,7.25
471,472,0,3,38.0,0,5,1,0,8.6625
472,473,1,2,33.0,0,5,0,3,6.9375
473,474,1,2,23.0,3,5,0,0,13.7917
474,475,0,3,22.0,0,2,0,0,9.8375
475,476,0,1,28.0,0,5,1,0,52.0
476,477,0,2,34.0,0,5,1,1,10.5
477,478,0,3,29.0,0,5,1,1,3.5229
478,479,0,3,22.0,0,5,1,0,7.5208
479,480,1,3,2.0,0,2,0,1,6.14375
480,481,0,3,9.0,0,5,1,7,5.8625
481,482,0,2,28.0,0,5,1,0,0.0
482,483,0,3,50.0,0,5,1,0,8.05
483,484,1,3,63.0,0,5,0,0,9.5875
484,485,1,1,25.0,1,5,1,1,45.5396
485,486,0,3,28.0,0,2,0,4,5.0933399999999995
486,487,1,1,35.0,2,5,0,1,45.0
487,488,0,1,58.0,1,5,1,0,29.7
488,489,0,3,30.0,0,5,1,0,8.05
489,490,1,3,9.0,0,5,1,2,5.3
490,491,0,3,28.0,0,5,1,1,9.98335
491,492,0,3,21.0,0,5,1,0,7.25
492,493,0,1,55.0,2,5,1,0,30.5
493,494,0,1,71.0,0,5,1,0,49.5042
494,495,0,3,21.0,0,5,1,0,8.05
495,496,0,3,28.0,0,5,1,0,14.4583
496,497,1,1,54.0,3,2,0,1,39.13335
497,498,0,3,28.0,0,5,1,0,15.1
498,499,0,1,25.0,2,5,0,3,37.8875
499,500,0,3,24.0,0,5,1,0,7.7958
500,501,0,3,17.0,0,5,1,0,8.6625
501,502,0,3,21.0,0,2,0,0,7.75
502,503,0,3,28.0,0,2,0,0,7.6292
503,504,0,3,37.0,0,2,0,0,9.5875
504,505,1,1,16.0,1,2,0,0,86.5
505,506,0,1,18.0,2,5,1,1,54.45
506,507,1,2,33.0,0,5,0,2,8.666666666666666
507,508,1,1,28.0,0,5,1,0,26.55
508,509,0,3,28.0,0,5,1,0,22.525
509,510,1,3,26.0,0,5,1,0,56.4958
510,511,1,3,29.0,0,5,1,0,7.75
511,512,0,3,28.0,0,5,1,0,8.05
512,513,1,1,36.0,4,5,1,0,26.2875
513,514,1,1,54.0,0,5,0,1,29.7
514,515,0,3,24.0,0,5,1,0,7.4958
515,516,0,1,47.0,3,5,1,0,34.0208
516,517,1,2,34.0,5,5,0,0,10.5
517,518,0,3,28.0,0,5,1,0,24.15
518,519,1,2,36.0,0,5,0,1,13.0
519,520,0,3,32.0,0,5,1,0,7.8958
520,521,1,1,30.0,1,2,0,0,93.5
521,522,0,3,22.0,0,5,1,0,7.8958
522,523,0,3,28.0,0,5,1,0,7.225
523,524,1,1,44.0,1,5,0,1,28.9896
524,525,0,3,28.0,0,5,1,0,7.2292
525,526,0,3,40.5,0,5,1,0,7.75
526,527,1,2,50.0,0,2,0,0,10.5
527,528,0,1,28.0,2,5,1,0,221.7792
528,529,0,3,39.0,0,5,1,0,7.925
529,530,0,2,23.0,0,5,1,3,2.875
530,531,1,2,2.0,0,2,0,2,8.666666666666666
531,532,0,3,28.0,0,5,1,0,7.2292
532,533,0,3,17.0,0,5,1,2,2.409733333333333
533,534,1,3,28.0,0,5,0,2,7.452766666666666
534,535,0,3,30.0,0,2,0,0,8.6625
535,536,1,2,7.0,0,2,0,2,8.75
536,537,0,1,45.0,1,0,1,0,26.55
537,538,1,1,30.0,0,2,0,0,106.425
538,539,0,3,28.0,0,5,1,0,14.5
539,540,1,1,22.0,1,2,0,2,16.5
540,541,1,1,36.0,1,2,0,2,23.666666666666668
541,542,0,3,9.0,0,2,0,6,4.4678571428571425
542,543,0,3,11.0,0,2,0,6,4.4678571428571425
543,544,1,2,32.0,0,5,1,1,13.0
544,545,0,1,50.0,2,5,1,1,53.2125
545,546,0,1,64.0,0,5,1,0,26.0
546,547,1,2,19.0,0,5,0,1,13.0
547,548,1,2,28.0,0,5,1,0,13.8625
548,549,0,3,33.0,0,5,1,2,6.841666666666666
549,550,1,2,8.0,0,5,1,2,12.25
550,551,1,1,17.0,2,5,1,2,36.9611
551,552,0,2,27.0,0,5,1,0,26.0
552,553,0,3,28.0,0,5,1,0,7.8292
553,554,1,3,22.0,0,5,1,0,7.225
554,555,1,3,22.0,0,2,0,0,7.775
555,556,0,1,62.0,0,5,1,0,26.55
556,557,1,1,48.0,0,5,0,1,19.8
557,558,0,1,28.0,0,5,1,0,227.525
558,559,1,1,39.0,4,5,0,2,26.55
559,560,1,3,36.0,0,5,0,1,8.7
